"","date","cl","clf","clx","cma","cmcsa","cme","cmg","cmi","cms","cnp"
"28",20060307,22.8765,18.4803,49.002,45.2463,16.1269,70.7925,45,23.7407,10.8318,9.06154
"29",20060308,23.6593,18.8723,49.2575,45.431,16.0908,70.3941,42.63,23.5649,10.6332,9.06866
"30",20060309,23.9817,18.3772,49.5608,44.9892,15.874,70.0144,41.35,23.3081,10.8874,8.95468
"31",20060310,24.1785,19.0873,49.3772,45.2704,15.8198,71.8792,42.15,23.5559,10.8874,9.07578
"32",20060313,24.2078,18.7916,49.5848,45.5541,15.6873,71.2761,43.3,23.5649,11.1176,9.01879
"33",20060314,23.7138,19.2531,48.8025,46.0412,16.0185,72.3009,48.68,23.8803,11.062,9.16127
"34",20060315,23.7305,19.8064,49.1138,46.4795,16.2835,72.7882,52,24.3219,10.9747,9.1114
"35",20060316,23.7013,19.9385,49.4171,46.7636,16.3738,71.9061,55.05,24.3512,11.0224,9.03304
"36",20060317,23.7221,20.4336,49.7285,46.8854,16.2233,71.2173,54.01,24.2791,10.9747,8.90481
"37",20060320,23.8645,20.2208,49.4491,46.861,16.1992,72.0321,50.19,24.3827,10.8,8.6911
"38",20060321,24.0864,19.9385,49.3932,46.9503,16.1029,70.7738,52.17,23.7519,10.7047,8.65548
"39",20060322,24.2915,20.0707,49.6247,47.2263,16.0065,71.5281,54.36,24.0921,10.7683,8.6626
"40",20060323,24.0152,20.232,49.4571,47.3156,15.9523,72.1917,53.85,23.6325,10.6252,8.61273
"41",20060324,24.1995,21.0921,49.3852,47.2506,16.0005,73.1242,54.53,23.7024,10.5697,8.6626
"42",20060327,24.191,20.8144,49.4252,47.0883,16.0788,75.2209,54.12,23.8601,10.4109,8.49163
"43",20060328,23.9357,20.1468,48.6029,47.2425,15.7476,74.6396,53.14,23.5694,10.387,8.54862
"44",20060329,24.1408,20.1065,48.1797,47.1695,15.9764,75.2662,53.91,23.7114,10.4267,8.70534
"45",20060330,24.4004,19.9676,48.4432,46.9341,15.9884,75.2158,55.46,23.4365,10.3235,8.67685
"46",20060331,23.9105,19.4793,47.7965,47.0558,15.7716,75.1217,55.25,23.6978,10.2838,8.50588
"47",20060403,24.2287,19.3091,48.5948,47.5266,15.8921,73.5526,56.98,23.6213,10.3235,8.58424
"48",20060404,24.2036,19.8198,48.7625,47.7133,15.9523,74.6933,57,23.788,10.4744,8.6341
"49",20060405,24.2706,20.4134,48.5709,47.8594,16.2775,74.5589,57.09,24.0583,10.4426,8.75521
"50",20060406,24.2873,20.7494,47.549,47.7539,16.5063,76.5431,55.51,23.628,10.3156,8.52012
"51",20060407,24.0989,20.2656,47.0302,47.2994,16.5605,80.8356,54.61,23.7812,10.2441,8.44888
"52",20060410,24.2078,20.2678,47.3814,47.3724,16.6448,81.18,53.77,24.3039,10.2203,8.45601
"53",20060411,23.9147,19.7392,47.1259,46.788,16.6027,81.017,54.65,24.0583,9.99,8.37765
"54",20060412,23.8185,19.7369,47.581,46.8042,16.4461,82.2804,54.05,23.9254,10.3632,8.38477
"55",20060413,23.6845,19.6428,47.4612,46.9016,16.8135,82.3443,53.03,24.0583,10.4188,8.37052
"56",20060417,23.5756,19.775,47.4133,47.0152,16.9339,82.6064,54.08,24.1507,10.2759,8.3634
"57",20060418,23.7431,20.736,47.9721,48.7361,17.3855,83.1625,54.04,24.7252,10.5141,8.47026
"58",20060419,23.8352,21.063,48.6029,45.408,17.3133,83.6698,53.83,25.178,10.5538,8.55574
"59",20060420,23.9994,20.1424,49.3053,44.6775,17.235,83.0986,53.1,24.7792,10.7444,8.55574
"60",20060421,23.9278,20.1984,49.6407,44.8885,17.2892,84.0058,53.38,24.7184,10.7285,8.61273
"61",20060424,24.1636,19.896,49.7604,44.3771,17.1266,82.9205,53.36,24.9369,10.8635,8.59136
"62",20060425,24.1552,19.3785,50.2315,44.1661,17.3795,79.7856,52.13,24.8175,10.5777,8.50588
"63",20060426,24.8204,19.1321,51.9557,44.3284,17.5722,78.7389,51.01,25.3402,10.5538,8.49163
"64",20060427,25.0141,18.2451,51.8595,45.4973,18.4334,78.544,50.71,24.5404,10.6015,8.54149
"65",20060428,24.8836,19.1769,51.5388,46.1873,18.6562,76.9883,52.32,23.405,10.6173,8.57711
"66",20060501,24.7657,19.7302,51.0414,45.1564,18.1443,76.1987,51.73,24.2723,10.5061,8.42039
"67",20060502,24.9762,19.8982,51.667,44.9535,18.1744,77.289,54.68,23.842,10.5379,8.56287
"68",20060503,25.0015,19.8691,49.3652,44.6531,18.06,75.6913,55,23.9479,10.1726,8.54862
"69",20060504,25.1909,20.5053,49.7341,44.6856,18.3009,80.1569,55.85,23.8961,10.252,8.62698
"70",20060505,25.393,20.9465,49.654,45.4567,18.5177,81.4824,56.9,24.3895,10.4267,8.81932
"71",20060508,25.6119,21.5849,50.0148,45.3756,18.6923,81.2254,59.21,24.3782,10.1885,8.78371
"72",20060509,25.2877,22.2726,49.8785,45.8382,18.9874,80.8121,66.97,24.8468,10.0773,8.81932
"73",20060510,25.052,22.2368,49.5096,45.8707,19.439,80.6054,64.83,25.8696,10.1885,8.74809
"74",20060511,24.8499,21.5625,49.0444,45.3674,19.1921,77.8703,64.11,26.3089,10.125,8.74096
"75",20060512,24.9173,21.0048,48.7396,45.2619,19.3066,77.5242,63.27,25.6083,9.95026,8.66876
"76",20060515,25.0814,20.279,49.5496,45.8464,19.3969,76.8136,62,25.3943,9.89469,8.86348
"77",20060516,25.5236,18.4086,49.3732,45.4486,19.3788,77.3596,63.79,25.3875,9.95819,8.7553
"78",20060517,25.6709,17.8919,48.4188,45.0509,19.144,74.6009,64.2,24.6037,9.89469,8.66876
"79",20060518,25.3173,17.2246,48.5071,44.5801,18.9934,74.3338,62.71,24.3959,10.1091,8.67597
"80",20060519,25.0309,17.0471,48.4749,45.0346,18.9934,75.5905,61.83,24.7392,10.2679,8.71924
"81",20060522,25.2751,16.4584,48.5311,44.9616,18.873,73.1275,60.9,24.0503,10.1329,8.76251
"82",20060523,25.0309,16.4404,48.491,44.5314,18.7345,73.4467,60.83,24.3168,10.0852,8.74088
"83",20060524,25.1825,16.2584,48.9722,44.7099,18.7405,72.679,60.2,24.484,10.0377,8.67597
"84",20060525,25.2457,16.8831,49.9025,44.8804,19.1921,74.6245,61.25,24.5946,10.0773,8.73366
"85",20060526,25.5783,17.0628,50.3116,44.8479,19.433,75.236,60.81,24.8476,10.2124,8.67597
"86",20060530,25.3383,16.3888,50.3436,44.3771,19.2283,73.2098,58.16,24.24,10.1806,8.55336
"87",20060531,25.3888,16.5034,50.6565,44.434,19.3246,74.0734,57.79,24.8951,10.2124,8.64712
"88",20060601,25.5657,16.6516,50.7848,45.1158,20.0473,76.5229,59.99,25.4598,10.2838,8.82742
"89",20060602,25.3383,16.782,50.5522,44.9535,20.1737,76.6775,60.57,25.3378,10.3156,8.95723
"90",20060605,25.111,15.6361,49.5496,44.2148,19.6438,74.6866,58.95,24.6534,10.2441,8.81299
"91",20060606,25.3593,15.8518,49.277,44.2067,19.969,73.9961,58.15,24.2513,10.2997,8.82742
"92",20060607,25.553,15.144,49.3251,45.1564,19.9449,74.8239,58.62,23.8899,10.252,8.78415
"93",20060608,25.7046,15.299,49.4695,45.5054,19.8064,75.5339,57.33,23.4788,10.2044,8.85627
"94",20060609,25.9194,15.1013,49.4053,45.2863,19.6619,76.2809,56.3,23.5849,10.2441,8.87069
"95",20060612,25.8478,14.443,49.3251,45.0671,19.5836,75.2108,57.1,22.8779,10.26,8.92839
"96",20060613,25.8225,14.2542,49.277,44.5256,19.4932,74.3141,56.75,22.7966,10.125,8.74809
"97",20060614,25.4225,14.4924,48.8198,43.6313,19.433,74.1189,58.14,23.6414,10.0456,8.82021
"98",20060615,25.3847,15.117,49.0524,44.8046,19.5715,75.4985,61.9,24.2152,10.2362,8.97887
"99",20060616,25.5446,14.962,49.1246,44.3451,19.7582,76.2741,61.75,24.0028,10.2203,8.92117
"100",20060619,25.4015,14.6002,48.6755,43.6888,19.4872,74.8844,60.93,24.1858,10.1408,8.84184
"101",20060620,25.3257,14.5688,48.3065,43.6067,19.415,75.6567,60.71,24.5856,10.0933,8.80578
"102",20060621,25.4309,15.5731,48.0499,43.6067,19.4812,80.3642,63.1,25.0645,10.1964,8.80578
"103",20060622,25.4099,15.5057,48.5071,43.3934,19.2463,79.2083,62.93,24.9651,10.1964,8.79857
"104",20060623,25.3173,15.8652,48.6755,41.7197,19.0416,80.4332,61.99,25.0216,10.0852,8.82021
"105",20060626,25.3678,16.0854,48.8198,42.212,19.0055,81.5991,62.74,25.2678,10.1568,8.83463
"106",20060627,25.3046,16.1371,48.9722,41.6376,18.6562,79.7484,61.8,25.0532,10.0933,8.95002
"107",20060628,24.9762,17.2111,48.7236,42.2202,19.1319,79.4254,59.99,25.5434,10.0377,9.01493
"108",20060629,25.3593,18.2447,49.253,42.9175,19.6438,82.0281,60.89,26.9484,10.1726,8.99329
"109",20060630,25.2246,17.8088,48.9321,42.6878,19.7703,82.5699,60.5,27.5922,10.2997,9.00772
"110",20060703,25.212,17.8402,49.0123,43.1226,19.7221,83.5928,60.39,27.4747,10.4665,9.03656
"111",20060705,25.1488,17.5796,48.6514,43.2211,19.4631,84.5602,59.45,27.0049,10.3314,9.18802
"112",20060706,25.6793,17.3909,48.8519,43.4918,19.433,84.2052,59.03,26.9597,10.2759,9.15917
"113",20060707,25.6498,17.1976,48.8359,43.6395,19.3849,83.2563,56.11,26.5734,10.3235,9.15196
"114",20060710,25.9488,16.9685,49.0524,43.4508,19.1921,82.2805,53.55,26.7474,10.4347,9.26014
"115",20060711,25.9572,16.6539,49.3011,43.2867,19.4932,80.842,55.28,26.8942,10.53,9.31062
"116",20060712,25.8562,17.1976,48.9001,43.3278,19.3066,79.6222,54.3,26.8535,10.53,9.20965
"117",20060713,25.9362,16.6584,48.2745,42.5073,18.9814,78.3015,54.99,26.0697,10.5379,9.10147
"118",20060714,25.7131,16.4741,47.4644,42.7452,18.6983,78.0861,54.1,25.8167,10.4267,9.18802
"119",20060717,25.6372,15.9484,47.8894,42.7042,19.1801,77.6352,55.46,25.3807,10.395,9.26735
"120",20060718,25.6036,16.1551,47.721,42.5401,19.2644,77.4771,53.81,25.6744,10.6015,9.35389
"121",20060719,26.2014,16.7617,48.4429,43.6231,19.6498,79.067,53.97,26.3679,10.6967,9.40437
"122",20060720,26.273,16.3483,47.9055,45.6824,19.5776,78.0659,50.94,25.3401,10.9032,9.51255
"123",20060721,26.1467,15.4316,47.2638,45.1984,19.3849,76.1227,49.27,24.7121,10.9032,9.63516
"124",20060724,26.3076,15.4496,47.5606,45.5758,19.7221,77.8237,50.63,25.7467,10.9112,9.7217
"125",20060725,25.6516,15.7192,48.4429,46.5029,19.5956,76.3852,52.75,25.636,11.0541,9.71449
"126",20060726,25.1733,15.6473,47.7451,47.0526,19.6077,75.7105,52.31,25.5569,11.2209,9.7217
"127",20060727,24.9278,15.2788,48.3657,47.0608,20.511,74.871,51.01,25.2158,11.0382,9.80824
"128",20060728,25.2325,15.845,48.5027,47.832,20.7157,76.2624,50.08,26.1329,11.1811,9.8443
"129",20060731,25.1183,16.2719,48.2771,47.9797,20.7157,77.5444,52.45,26.4063,11.1335,9.90921
"130",20060801,24.7543,16.209,47.2776,47.6843,20.6013,77.679,51.98,26.3385,11.2527,9.90921
"131",20060802,24.949,16.191,47.9547,47.6843,20.9686,76.5938,52.25,26.3521,11.1097,9.7794
"132",20060803,24.6443,16.4741,47.9547,47.7746,20.9626,77.2247,54,26.919,10.9747,9.83709
"133",20060804,24.7502,16.5146,47.6323,48.1274,20.9506,81.6916,54.76,27.1991,11.1176,9.98133
"134",20060807,24.9744,16.4831,47.3099,48.0453,20.8362,81.9003,54.34,27.6464,11.0859,9.88036
"135",20060808,24.9278,16.182,47.6404,47.5941,20.6314,82.4572,53.35,27.0568,11.062,9.97412
"136",20060809,24.9617,16.1776,47.6081,46.9952,20.7278,81.6142,50.28,26.4085,11.1017,10.0174
"137",20060810,25.2961,16.1641,47.5678,47.3644,20.3965,80.5829,48.68,26.6706,11.1335,9.95969
"138",20060811,25.2029,15.6702,47.0681,47.1182,20.7037,78.2964,49.15,26.1217,11.1335,9.99575
"139",20060814,25.2622,15.2283,47.1407,46.9869,20.7398,77.6453,49.91,26.0923,11.1653,10.1852
"140",20060815,25.4358,15.783,48.398,47.4792,20.8663,78.4967,50.65,26.9032,11.1891,10.3238
"141",20060816,25.3045,16.3782,48.817,47.6515,20.5652,78.68,53.39,27.2884,11.1176,10.2581
"142",20060817,24.9744,16.2519,49.1958,46.9952,20.8241,77.9381,53.14,28.0587,11.1811,10.229
"143",20060818,24.9786,16.4549,48.817,46.9623,20.794,77.6117,51.9,27.6916,11.2527,10.3748
"144",20060821,25.0971,16.4774,48.2448,46.8967,20.9626,76.5921,51.12,27.4356,11.3241,10.3602
"145",20060822,24.9194,16.6127,48.0675,47.1428,21.077,75.8316,50.58,27.2498,11.3162,10.3748
"146",20060823,25.0802,16.27,48.0675,46.6506,20.9927,74.977,50.21,27.0051,11.3083,10.404
"147",20060824,25.0379,16.3376,48.1561,46.6834,21.0529,74.8676,49.24,26.6109,11.3797,10.4769
"148",20060825,24.8856,16.9103,48.1481,46.4455,21.3721,75.4665,48.92,25.8496,11.3718,10.5425
"149",20060828,24.9321,16.4143,48.4705,46.8639,21.3661,73.4611,48.9,26.0943,11.5068,10.5862
"150",20060829,25.1352,16.5901,48.3738,46.7326,21.1734,73.6579,49.72,26.015,11.5385,10.5498
"151",20060830,25.2537,16.5947,48.5833,47.1182,21.0108,72.9479,50.31,25.7771,11.467,10.4258
"152",20060831,25.3553,16.4233,48.2206,47.0198,21.0951,73.9961,49.32,26.0445,11.6259,10.5425
"153",20060901,25.6601,16.9058,48.3738,47.1264,21.2155,74.4083,50.79,26.1759,11.745,10.6008
"154",20060905,25.7362,17.4109,48.543,47.2167,21.071,74.5597,50.51,26.7038,11.745,10.3602
"155",20060906,25.9648,16.9915,48.1723,46.8557,20.9024,74.9267,50.05,25.9652,11.6338,10.1707
"156",20060907,25.7066,16.6352,47.866,46.1501,21.0409,74.3017,49.92,25.7545,11.5385,10.1415
"157",20060908,25.7193,16.3647,47.6806,46.6095,21.0168,74.7734,47.91,25.7363,11.5464,10.2873
"158",20060911,26.2525,15.6973,48.3496,46.8721,20.9144,74.6184,49.04,25.1201,11.5385,10.2509
"159",20060912,26.3669,15.9363,48.7928,47.2085,21.0529,76.4178,51.71,25.5687,11.467,10.2873
"160",20060913,25.9352,16.3331,48.6397,47.0096,20.8843,76.9974,52.06,25.9425,11.4909,10.2071
"161",20060914,26.1552,16.0265,48.5833,47.2583,20.6916,76.433,50.88,25.478,11.4035,10.2217
"162",20060915,26.3203,16.1843,50.4048,47.5899,20.7639,79.0866,51.2,25.3761,11.475,10.3019
"163",20060918,26.1975,17.2305,49.7278,47.8303,20.5832,79.7033,50.88,25.4984,11.3083,10.1196
"164",20060919,26.1764,17.1448,49.6069,47.6148,20.7639,78.8103,50.3,25.5392,11.3083,10.1342
"165",20060920,26.1722,17.1764,50.0743,48.195,21.1071,77.5955,51.1,25.8066,11.2844,10.1269
"166",20060921,26.1298,17.1403,51.1463,47.5816,21.2095,78.2206,53.17,25.5505,11.3162,10.0905
"167",20060922,26.0663,16.9644,51.1785,47.5899,21.1373,77.8213,52.13,25.2401,11.2923,10.0978
"168",20060925,26.2991,16.9329,51.2914,48.0873,22.0406,79.0209,53.21,25.7522,11.3876,10.3383
"169",20060926,26.4091,17.1177,51.5412,47.8303,21.8177,79.2703,52.57,26.7536,11.3162,10.3383
"170",20060927,26.2695,17.0997,51.2027,47.7723,21.9864,80.7698,49.81,26.6222,11.4988,10.4769
"171",20060928,26.4726,17.2485,51.251,47.8966,22.0345,80.2997,49.67,27.277,11.5147,10.4769
"172",20060929,26.3118,17.2124,50.7917,47.134,22.1971,80.1969,49.63,27.0006,11.4591,10.4477
"173",20061002,26.3922,17.483,50.9609,46.8107,21.8539,78.7143,49.18,27.0708,11.5544,10.3748
"174",20061003,26.2399,17.0005,51.0496,46.7195,22.2935,80.1851,49.5,27.0686,11.7529,10.4987
"175",20061004,26.4346,17.3703,51.7346,47.1257,22.5283,82.4226,50.94,27.4968,11.7926,10.6446
"176",20061005,26.5911,18.1549,51.9925,46.7278,22.0887,82.8944,50.11,29.4589,11.7609,10.6446
"177",20061006,26.5192,18.0422,51.9683,46.562,22.3597,82.5574,51.21,29.7738,11.6894,10.4915
"178",20061009,26.5107,18.2947,52.4196,46.8273,22.6789,87.9152,55.69,30.4898,11.6815,10.5133
"179",20061010,26.3414,18.908,53.1612,46.7609,22.6488,84.741,56.46,30.2315,11.745,10.5644
"180",20061011,26.2483,18.5788,52.4036,47.2169,22.6849,84.0249,55.47,29.8599,11.8323,10.6008
"181",20061012,26.007,19.2011,52.6132,47.308,23.0884,84.2085,57.26,30.7866,11.8482,10.6956
"182",20061013,25.7574,19.3093,52.4519,47.4158,23.1847,84.345,56.86,30.6212,11.8006,10.732
"183",20061016,25.4399,19.6791,52.6373,47.7723,22.9981,84.6079,56.15,31.2556,11.9197,10.8924
"184",20061017,25.3173,19.3364,52.3955,47.9132,22.9619,86.938,55.49,30.9294,11.9991,10.9362
"185",20061018,25.5754,19.1154,52.6615,47.764,22.9981,85.4048,54.85,31.2216,11.9673,11.0237
"186",20061019,25.495,19.9001,52.5809,48.5681,22.8596,84.4107,54,31.1469,12.0229,11.0383
"187",20061020,25.8183,19.6791,52.734,48.3774,22.8716,82.6248,54.91,30.0208,12.1024,11.1185
"188",20061023,25.678,19.8234,52.4116,48.5681,23.1607,84.5725,56.49,30.3607,12.0864,11.1403
"189",20061024,25.7375,20.0173,52.194,48.3194,23.4858,85.0425,57.25,30.4966,12.0706,11.2716
"190",20061025,26.4566,19.6611,52.3391,48.3194,23.3353,83.8935,57.04,30.2972,12.15,11.3153
"191",20061026,26.7161,19.3905,52.597,48.4354,24.0941,84.2608,58.49,30.4083,12.0626,11.2716
"192",20061027,26.9289,19.2913,52.0789,48.5349,24.1061,85.1032,58.4,29.6923,12.015,11.2424
"193",20061030,27.1331,19.3003,52.0546,48.8831,24.2747,84.2052,59.1,30.0208,11.9594,11.2497
"194",20061031,27.1969,19.0658,52.1842,48.195,24.4795,84.3922,59.76,28.7248,11.8006,11.2789
"195",20061101,27.2352,18.5698,52.0222,48.1536,24.0098,84.4714,58.19,28.2037,11.7609,11.257
"196",20061102,27.0267,18.6464,52.0789,47.8386,24.1663,84.2422,56.81,27.7596,11.9356,11.2789
"197",20061103,27.1034,18.7456,51.3503,47.9132,24.1061,84.4646,57.09,27.4175,11.8879,11.3809
"198",20061106,27.2565,19.0793,51.7308,48.0956,24.5879,86.2253,58.3,27.6486,11.8721,11.432
"199",20061107,27.6437,18.8494,51.6255,48.2862,24.4674,85.9271,58,27.2544,11.8482,11.5049
"200",20061108,27.6522,19.0072,52.2003,48.4769,24.6059,85.0089,57.7,27.3473,11.9594,11.5997
"201",20061109,27.6947,19.2417,51.9656,48.5432,24.4915,83.4588,56.72,26.9372,12.1103,11.6361
"202",20061110,27.7544,19.0162,51.9008,48.8665,24.2687,83.5683,57.26,27.0776,12.0944,11.709
"203",20061113,27.5799,19.0703,51.8117,48.7836,24.359,84.0097,56.61,27.0595,12.0706,11.8111
"204",20061114,27.5671,19.0884,52.0627,49.2395,24.4373,86.5589,57.79,27.5687,12.0944,11.9141
"205",20061115,27.3587,19.0884,52.5161,49.0488,24.2567,89.718,58.87,27.9232,12.0388,11.9215
"206",20061116,27.933,18.7366,52.8965,49.1815,24.3109,90.9799,58.79,27.93,12.0864,11.9067
"207",20061117,28.0777,19.4536,52.9694,49.024,24.2807,90.0903,59.7,27.6368,12.0944,11.7743
"208",20061120,28.0522,20.1977,52.6537,49.2644,24.5638,91.167,61.88,27.4778,12.0547,11.7669
"209",20061121,28.4223,20.9822,52.4108,48.7173,24.5036,93.0338,61.1,27.7209,12.1182,11.8037
"210",20061122,28.401,20.9008,52.2165,48.5598,23.9194,93.2629,61.34,28.18,12.0785,11.8184
"211",20061124,28.0692,21.2083,52.2327,48.51,23.8652,93.0641,61.01,28.2141,12.1182,11.8773
"212",20061127,27.665,20.8284,52.0627,47.8883,23.7749,89.841,58.2,27.4437,11.9038,11.6418
"213",20061128,27.6777,20.7063,51.7794,47.8552,24.0399,90.4762,57.39,26.9073,12.3882,11.7596
"214",20061129,27.7118,21.6695,51.6094,48.5515,24.2265,90.8553,57.93,27.2551,12.7058,11.9141
"215",20061130,27.6735,21.7283,51.7713,48.2365,24.4012,90.611,57.95,27.2437,12.8805,12.0319
"216",20061201,27.7884,21.6017,51.5931,48.0375,24.4433,89.2462,57.54,26.9551,12.8409,11.9656
"217",20061204,28.1671,22.0358,52.1517,48.5266,24.5879,89.7972,58,27.7482,12.9759,12.0392
"218",20061205,27.899,21.9318,52.1922,48.6261,25.2142,91.2849,56.85,27.9846,13.0156,11.9951
"219",20061206,28.0181,21.9001,52.176,48.9908,25.2443,91.2562,57.07,27.98,12.9997,11.9583
"220",20061207,27.916,21.9499,52.1437,48.9411,25.1479,90.9138,54.85,27.9073,12.7138,11.8994
"221",20061208,27.916,21.7102,51.8685,49.0074,25.3527,92.1182,55.31,27.8777,12.8091,11.9067
"222",20061211,28.0309,21.6695,51.7956,49.1981,25.708,91.7522,54.85,27.6209,12.8647,11.9583
"223",20061212,27.9458,20.8691,51.7874,49.1566,25.9368,91.4148,54.49,27.4232,12.9044,12.0613
"224",20061213,27.899,21.2263,51.5122,48.9974,25.8284,89.6943,54.28,27.5709,12.9044,12.0613
"225",20061214,27.933,20.9143,51.3503,49.2988,25.8043,89.259,53.97,28.0073,13.0553,12.1717
"226",20061215,27.8054,21.05,51.5526,49.6672,25.8585,89.9135,53.06,27.4596,13.2379,12.1864
"227",20061218,27.7373,20.5526,51.4474,49.5081,25.9488,88.721,54.02,27.296,13.1346,12.0686
"228",20061219,27.6906,20.8646,51.5203,49.6253,25.8164,90.1936,54.66,27.146,13.2062,12.1717
"229",20061220,27.7331,20.9776,51.9413,49.6923,25.7019,88.559,54.99,27.2778,13.23,12.2158
"230",20061221,27.5161,21.163,52.0142,49.4746,25.72,86.7794,54.33,27.1005,13.2776,12.1349
"231",20061222,27.465,20.9912,51.9331,49.3239,25.5574,86.2599,55.51,26.9028,13.2618,12.1496
"232",20061226,27.6607,21.059,52.0465,49.7174,25.8344,85.8079,56.3,27.0187,13.3491,12.3262
"233",20061227,27.6863,21.9544,52.1679,49.8514,25.8164,86.1941,55.9,27.3391,13.4682,12.3409
"234",20061228,27.9245,21.9815,52.3137,49.6839,25.714,86.4674,56.43,27.1369,13.3491,12.26
"235",20061229,27.7501,21.9046,51.9089,49.1732,25.4611,85.9006,56.29,26.8096,13.2697,12.1937
"236",20070103,27.9458,21.5971,51.8846,49.5751,25.6598,87.9636,56.52,26.7937,13.3491,12.547
"237",20070104,27.9926,21.457,51.8522,49.6002,25.9127,88.7918,55.32,26.8142,13.2856,12.5543
"238",20070105,27.8735,21.0229,51.747,49.0225,25.6297,89.4935,55.04,26.4097,13.0791,12.3556
"239",20070108,27.9586,21.7419,51.2612,48.922,25.6056,90.2138,56.05,26.3597,13.0156,12.2305
"240",20070109,27.9543,21.6243,51.2774,48.788,25.732,90.6996,56.56,26.6619,12.96,12.2894
"241",20070110,28.082,21.9137,51.5446,48.7629,25.8284,93.2737,56.29,25.962,12.8091,12.3483
"242",20070111,28.2266,22.176,51.7956,48.4782,25.8404,93.918,57.69,26.3483,12.7693,12.4292
"243",20070112,28.4308,22.7186,52.1113,48.6206,26.533,96.762,58.33,26.5028,12.7297,12.3924
"244",20070116,28.4351,22.4473,51.9817,48.7629,26.7739,95.7634,60.49,26.9505,12.7932,12.4366
"245",20070117,28.3075,22.5242,51.8199,48.6373,26.9485,98.1182,60.45,27.3005,12.8488,12.3188
"246",20070118,28.2947,22.2709,51.7713,49.8346,27.1593,97.327,59.6,27.2164,12.8249,12.1422
"247",20070119,28.4394,22.6417,52.176,49.9016,26.8582,97.3642,59.01,27.4414,12.8885,12.3041
"248",20070122,28.2819,22.6598,52.9856,49.5165,26.9967,96.0383,58.42,26.8869,12.8568,12.3924
"249",20070123,28.2054,23.4919,53.107,49.3909,26.81,98.5534,58.51,27.4778,12.8885,12.5102
"250",20070124,28.4147,23.8762,53.0261,49.9519,27.093,99.7915,58.03,27.7959,13.095,12.7309
"251",20070125,28.2266,23.5461,52.5242,49.056,26.2198,97.6847,57.47,27.6346,13.1267,12.8119
"252",20070126,28.3079,23.718,52.6213,49.0392,26.0813,99.2703,57.3,28.405,13.2935,12.8708
