x	y
9.54656681	2.41451192
7.18363748	-0.508013864
3.89399859	0.413141343
5.55982305	0.118739908
7.46833409	-1.52102637
1.01227247	-0.00373854204
5.67060895	0.672391669
8.76299347	0.448692938
2.41721985	0.0525819822
2.59775136	0.555858141
3.35310861	1.53717176
1.44779069	-1.24442365
8.0573325	-1.85129253
6.48728627	1.88912132
0.207580236	0.435288465
0.486923705	0.0756670317
1.34570207	-0.797221209
6.8911527	0.563959086
5.9175925	1.73806198
2.36819062	0.179741585
8.6107137	-0.191458011
4.04502519	-0.573219957
9.16972555	1.79747127
0.485004012	0.478101993
9.06414689	1.61268096
6.86138771	0.980203793
5.27572696	-1.04670891
4.92518096	-1.56650781
1.5958128	-0.902147801
5.84911524	1.18472796
9.60511801	2.35978356
6.16218749	1.64576176
9.17859295	1.9230174
3.25136389	1.53057372
6.2520094	2.25927522
4.7143968	-1.53822443
1.12126045	-0.67857687
6.76407761	1.4676271
6.04442916	2.20269427
4.22747309	-0.876034196
9.77555837	1.78631344
9.87292491	1.47620074
0.126836662	0.0360214623
1.85928247	-0.773379421
1.16484467	-0.222967492
5.82789972	1.30287793
0.957111115	-0.181405027
1.37427846	-0.559966084
2.10069778	-0.487762074
8.96651201	1.76823044
5.68138415	0.870083292
6.4490975	2.10340629
0.504884987	0.260045946
3.11739677	1.58830891
6.07626615	1.32672726
0.286910009	0.342974728
1.32629204	-0.783501069
9.86603288	1.99599737
9.82425675	1.75344124
5.57251321	0.48656573
0.205031591	0.0766656381
3.10195527	1.66754001
3.77982758	0.269550237
1.34504012	-0.390706811
0.429473218	0.047156154
3.22903036	1.56804199
3.65299092	0.988753392
9.48575765	2.40920103
9.26462854	2.00743884
7.40113064	-1.23173087
2.69587981	0.728873419
8.11147919	-1.6778665
7.16393076	-0.234395501
8.43461862	-0.853932582
7.01449565	0.202257605
1.66238169	-0.859488082
6.65904577	1.66337248
5.31722185	-0.354953409
0.938229506	-0.0643194859
1.37547168	-0.60297825
5.33275374	-0.924090918
5.45118897	0.0783054824
1.11397276	-0.338001788
5.80295847	1.1599511
5.12772215	-1.16520374
2.3492337	0.412400812
7.33414518	-0.790650886
4.45791836	-1.35012535
4.69824893	-1.67475699
9.12020333	1.67526777
3.68115426	0.962746262
4.97216071	-1.67721063
5.43362038	-0.310561284
1.71907269	-1.16164821
0.985274451	-0.496620851
6.86068152	0.646496222
8.26968962	-1.87993322
3.28445407	1.19398237
3.9707788	-0.272859662
5.19829983	-1.02769503
1.61064385	-1.05082965
7.96723222	-1.88765376
3.03254929	1.33286659
3.82282814	0.122382245
6.27789011	1.80696528
2.51604325	0.762304765
1.91857653	-0.573075459
8.01986967	-2.167
1.15016797	-0.812117316
0.166809552	0.195595237
4.58443136	-1.44018344
3.56195132	0.840677615
6.45191904	1.76490503
1.04660622	-0.530301695
0.903277102	-0.17789531
8.58979061	-0.178661884
1.01829866	-0.216395604
9.32753353	2.1788551
9.91800265	1.36521241
1.72910909	-0.922895847
2.74860903	0.818153163
6.04307945	2.01005272
5.94722385	1.36199445
6.53080927	1.5595197
1.13796519	-0.58744005
8.07584724	-1.8299657
2.91467456	1.10725314
2.70798112	0.780973347
4.86007507	-2.05349183
5.55980399	0.130682965
0.996098022	-0.479452597
4.68811145	-1.8102817
3.70990711	0.591324875
5.39299444	-0.205803943
6.41166666	2.18378385
1.12616013	-0.575961309
7.25798807	-0.791002567
4.34638822	-1.24273826
5.50838956	0.275783195
2.53636952	0.617192301
6.23968942	1.68889867
5.0188547	-1.33265043
5.59038691	0.43361865
0.807260429	-0.188434087
3.49108038	0.906915891
8.97577524	1.24437658
9.64316306	1.52684307
4.27645116	-1.05795047
2.3531152	0.172309489
0.899928002	0.236995073
6.7284885	1.30970826
1.56847004	-0.796638075
7.49304012	-1.50013389
5.34012401	-0.376646755
5.73239048	1.23097464
6.88035859	0.640412138
3.78313301	0.281551132
9.94712957	1.26319508
9.32072382	2.44822876
5.75419846	0.838627725
6.52514494	1.88740275
5.60074135	0.231484394
3.81233426	0.0504110178
3.21782894	0.99495436
0.285455527	0.24862681
0.581886654	-0.0293182133
8.22194734	-1.60455517
2.41056851	0.246188905
6.79437514	1.0642255
1.60611141	-1.08689363
8.57878428	-0.194595594
8.13411735	-1.83320809
4.44125995	-1.57463693
0.706183411	0.111044652
1.85029578	-0.887827116
6.56564731	1.74025727
6.94821982	0.674769577
5.3660594	-0.468032622
6.1179053	1.90773695
9.68528871	2.24990751
3.16508681	1.49492677
5.41892983	-0.066997067
6.79718148	0.982803138
3.93109025	0.198688345
6.63994187	1.51190577
9.81818848	1.73034846
2.98484723	1.09031301
0.713261309	0.456654616
6.35448634	1.89535251
9.23630183	2.28673155
4.76289989	-1.82442453
8.3026928	-1.48349524
9.5601112	1.7712657
7.63019041	-1.84637035
6.1841156	2.15380766
0.16857545	0.294621244
5.11885125	-1.4647042
6.924007	0.890516243
4.33381982	-1.20915284
3.60292814	1.28642148
8.17063143	-2.04747692
1.5579476	-0.748178592
8.21591452	-1.41671696
3.91763943	-0.232198228
5.00554462	-1.57769216
6.13901777	1.80758037
1.41873303	-0.935810683
9.98654918	1.16784445
8.36560275	-1.07265238
6.32082929	2.19606262
8.4338858	-0.817066639
9.27328787	2.57621041
2.01111641	-1.01856792
7.08452746	-0.0745635752
3.67098592	0.69735367
0.970595077	-0.191195099
2.45100521	0.231932666
9.45433705	2.22034694
7.48687032	-1.5244695
0.802019627	-0.164385313
7.33215396	-0.857558924
2.53033005	0.451556023
3.1530505	1.37833164
7.19909148	-0.453742244
9.16152253	2.04106224
0.972382445	-0.218664236
4.93713598	-1.61263472
3.28145205	1.67867775
4.15597792	-0.419261983
4.83336468	-1.91706122
3.51840295	1.21215067
3.29490287	1.41384915
5.79037517	1.1404156
8.51253539	-0.293160943
5.08451715	-1.2278559
4.02161499	-0.0610735745
3.77925876	0.606363509
1.42800793	-0.746578625
1.41353123	-0.879826181
3.05101992	1.58516025
1.32825355	-0.884806422
1.97367088	-0.910603074
3.92666091	-0.410644283
2.24900029	-0.441774051
3.99609959	-0.413455933
9.44334083	2.32823789
0.773610414	-0.202486354
5.04990881	-1.51529054
4.83457706	-1.84248264
8.47095839	-0.704853563
5.83647443	1.31703702
1.76845676	-0.788873448
0.678599143	0.254322695
3.63759371	0.489171884
2.31807148	-0.221289047
8.47355389	-0.602609461
4.88822397	-1.81004129
5.12505832	-1.23230307
7.23355433	-0.603918
4.4519389	-1.73312033
1.10896521	-0.507566866
3.6970504	0.66685194
5.82002311	1.01687249
1.40091898	-0.833824563
9.78071166	1.50990049
1.72337952	-0.822752744
1.89336219	-0.855060261
9.15191869	2.0295646
5.78461206	0.852563542
2.28003869	-0.0936904914
1.11975178	-0.51403594
4.10200988	-0.69910943
0.950035003	-0.299614671
3.8090803	0.114967115
5.28327735	-0.778811368
2.33355313	0.106046015
0.27143586	-0.000912083877
0.171486592	0.0947737687
2.96520586	1.05032787
3.85999924	-0.08460891
5.38321189	-0.346214113
5.04642827	-1.64020557
5.73165153	0.739550229
9.40806035	2.36485072
4.27424668	-1.08652296
1.34937787	-0.928478754
9.91162842	1.05573023
8.00714137	-2.2175612
4.49353502	-1.42208351
9.62599835	2.66728634
8.01826623	-2.16795141
8.85522268	0.807161226
8.70892296	-0.0860667991
7.34595966	-0.92486034
6.89851445	0.929000344
4.75321279	-1.90326738
7.75888795	-2.28581049
3.53687936	1.18750786
1.61523711	-0.670319145
2.41965966	0.0652164392
7.48745209	-1.17558694
3.36539276	1.20628877
8.65003124	-0.0455623913
8.55966042	-0.302710188
2.10424021	-0.272241382
8.3189645	-1.16819823
2.91837971	1.36627694
9.15160008	1.64738344
7.82999353	-2.39001592
6.96958663	0.201414978
3.00675129	1.33159614
1.14445871	-0.325196882
3.33645851	1.30127327
7.34358828	-1.12723625
4.98848506	-1.39585006
2.28923603	-0.201619789
4.62753556	-1.68469005
9.99762862	0.845571298
8.0899706	-1.97555091
7.53602324	-1.68065483
6.8686476	0.948120792
6.46074926	1.95913742
6.4747335	1.77523361
5.11636358	-1.11267237
9.38119551	2.31169378
